created_date,complaint_type,borough,descriptor,latitude,longitude
2025-05-09 00:31:31,Noise - Vehicle,BRONX,Car/Truck Music,40.85641698079153,-73.89419809977653
2025-05-09 00:31:04,Noise - Residential,BROOKLYN,Banging/Pounding,40.66257854139589,-73.94732487429349
2025-05-09 00:31:00,Abandoned Vehicle,QUEENS,With License Plate,40.69535493416767,-73.77942289182866
2025-05-09 00:30:54,Noise - Vehicle,BRONX,Car/Truck Music,40.8232816592951,-73.91244292227657
2025-05-09 00:30:52,Blocked Driveway,BROOKLYN,No Access,40.698711125133194,-73.92354829213022
2025-05-09 00:30:45,Illegal Parking,QUEENS,Blocked Hydrant,40.72976672912934,-73.9002226044247
2025-05-09 00:30:44,Noise - Residential,BRONX,Banging/Pounding,40.81716059605356,-73.9050772444701
2025-05-09 00:30:41,Noise - Residential,QUEENS,Banging/Pounding,40.746726110111105,-73.9132184170309
2025-05-09 00:30:28,Illegal Parking,BROOKLYN,Blocked Hydrant,40.620603474336484,-73.99422573412984
2025-05-09 00:30:11,Noise - Residential,BRONX,Loud Music/Party,40.81920839294845,-73.92817890823008
2025-05-09 00:28:28,Illegal Parking,BRONX,Double Parked Blocking Traffic,40.86949700891564,-73.85517167416522
2025-05-09 00:27:45,Abandoned Vehicle,QUEENS,With License Plate,40.71361792967246,-73.82357227469579
2025-05-09 00:27:32,Noise - Street/Sidewalk,MANHATTAN,Loud Talking,40.81731160225291,-73.94252742505232
2025-05-09 00:27:28,Blocked Driveway,BROOKLYN,No Access,40.691675135683106,-73.91053508160803
2025-05-09 00:27:18,Rodent,STATEN ISLAND,Rat Sighting,40.61930887085814,-74.08596754739075
2025-05-09 00:27:18,Illegal Parking,QUEENS,Blocked Hydrant,40.69309461261273,-73.8681617203779
2025-05-09 00:27:16,Illegal Parking,QUEENS,Blocked Hydrant,40.69225687546188,-73.86765492558875
2025-05-09 00:27:14,Noise - Residential,QUEENS,Banging/Pounding,40.74376659497398,-73.82192259679958
2025-05-09 00:27:13,Illegal Parking,QUEENS,Commercial Overnight Parking,40.69125217907425,-73.86755955825411
2025-05-09 00:27:09,Noise - Residential,BROOKLYN,Loud Television,40.61262673646758,-73.95515123510164
2025-05-09 00:27:05,Noise - Street/Sidewalk,MANHATTAN,Loud Music/Party,40.81747881680634,-73.94210096797929
2025-05-09 00:26:03,Noise - Street/Sidewalk,BROOKLYN,Loud Music/Party,40.68353278961666,-73.98983231676333
2025-05-09 00:26:00,Traffic Signal Condition,BROOKLYN,Controller,40.707593522846096,-73.95554180676132
2025-05-09 00:25:33,Illegal Parking,QUEENS,Blocked Hydrant,40.77433981692113,-73.92740050001746
2025-05-09 00:25:13,Dirty Condition,QUEENS,Trash,40.68154889151841,-73.79434831131233
2025-05-09 00:24:47,Noise - Residential,BRONX,Banging/Pounding,40.82956848987864,-73.89752182981697
2025-05-09 00:24:20,Noise - Street/Sidewalk,QUEENS,Loud Music/Party,40.685496264116026,-73.83363800306772
2025-05-09 00:23:37,Noise - Residential,BROOKLYN,Loud Music/Party,40.688334599490894,-73.93014442097454
